id,name,text,trans
0000000000000,{user},（雨夜さんは元気だろうか）,（雨夜同学最近还好吗）
0000000000000,燕,ふんふんふん～♪,哼哼哼哼～♪
0000000000000,{user},十王さんのライブ映像ですか？,十王同学的演出影像吗？
0000000000000,燕,うおおわぁっ！？\nき、貴様、いつからそこに！？,呜哇啊啊！？\n你、你这家伙，什么时候在那里的！？
0000000000000,{user},十王さんの『Choo Choo Choo』を\n上機嫌に口ずさんでいた時からです。,从您心情愉悦地哼唱十王同学的\n『Choo Choo Choo』时就开始了。
0000000000000,燕,足音もなく背後を取るな！,别悄无声息地绕到别人背后！
select,,ライバルの\n研究ですか？,是在研究\n竞争对手吗？
select,,そのライブ映像、\n良いですよね,那段演出影像\n确实很精彩呢
select,,勝てると\n思いますか？,您觉得能\n获胜吗？
0000000000000,燕,そ、その通りだ！\n私は星南を超えねばならん！,没、没错！\n我必须超越星南！
0000000000000,{user},その割には、楽しそうでしたね。,但您刚才看起来很开心呢。
0000000000000,燕,そんなことはない！,才没有这回事！
0000000000000,{user},では、研究成果を教えてください。,那么请分享您的研究成果吧。
0000000000000,燕,……えっ？\nいや、そのだな……,……咦？\n这个嘛，该怎么说呢……
0000000000000,燕,……顔が良い、とか？,……比如颜值很高之类的？
0000000000000,燕,き、貴様もそう思うか！？,你、你也这么觉得吗！？
0000000000000,燕,このライブは現地で見ていたが、\nまさに十王星南の真骨頂と言える。,这场演出我是在现场看的，\n堪称十王星南的真正实力体现。
0000000000000,燕,圧倒的なカリスマ性、それを表現する\nパフォーマンスと演出――はっ！？,压倒性的领袖气质，将其展现出来的\n表演与舞台效果——啊！？
0000000000000,燕,ま、まあ、いずれ私が超えるがな！,反、反正我迟早会超越她的！
0000000000000,{user},十王さんのファンなんですね。,原来是十王同学的粉丝呢。
0000000000000,燕,ファンではない！！,我才不是粉丝！！
0000000000000,燕,……勝てるかどうかではなく、\n勝つしかないだろう。,……问题不在于能否获胜，\n而是非赢不可吧。
0000000000000,燕,だが、<r\=プリマステラ>『一番星』</r>に相応しい\n圧倒的なパフォーマンスだ。,但这是与<r\=プリマステラ>『一等星』</r>相称的\n压倒性演出。
0000000000000,燕,今の私では、まだ届かん。,以现在的我还无法企及。
0000000000000,{user},勝つ方法を一緒に考えましょう。,让我们一起思考获胜的方法吧。
0000000000000,燕,フン、貴様の意見が参考になるとは\n思えんが……まあいいだろう。,哼，虽不觉得你的意见能有什么参考价值……\n不过也罢。
info,adv_pstory_001_atbm_after-step-2-normal-02.txt,,
译者,,,
