id,name,text,trans
0000000000000,美鈴,プロデューサー。,制作人。
0000000000000,美鈴,そろそろ……次の段階に\n進んでもいいのではないでしょうか。,差不多该……进入下一阶段\n也没问题了吧？
0000000000000,{user},突然どうしました、秦谷さん。,突然怎么了，秦谷同学？
0000000000000,{user},次の段階に進むとは……なんの話です？,进入下一阶段是指……在说什么事呢？
0000000000000,美鈴,もちろんプロデューサーがわたしに、\n部屋の合鍵を渡してくださるという……,当然是制作人您\n要把房间的备用钥匙交给我这件事……
0000000000000,{user},恐ろしい冗談はやめてください。,请别开这么可怕的玩笑。
0000000000000,美鈴,ふふふ……わかっていらっしゃる\nくせに、とぼけるからです。,呵呵呵……明明心知肚明\n却还要装糊涂呢。
0000000000000,美鈴,あらためまして、プロデューサー。,重新正式说一次，制作人。
0000000000000,美鈴,ご要望通りのオーディションを\n突破しました。,我已经按照您的要求\n通过了试镜选拔。
0000000000000,美鈴,わたしのファンはさらに増えて、\nランキングが順調に上がっています。,我的粉丝数量持续增加，\n排名也在稳步上升。
0000000000000,美鈴,そろそろ……次の段階に\n進んでもいいのではないでしょうか。,差不多该……进入下一阶段\n也没问题了吧？
0000000000000,美鈴,どうか、ご検討ください。,恳请您……考虑一下。
0000000000000,美鈴,先ほどのお話が、\n冗談でなくなってしまう前に……,在刚才那番话\n变成现实之前……
info,adv_pstory_002_hmsz_ending-normal-02.txt,,
译者,,,
