id,name,text,trans
0000000000000,燕,おい、プロデューサー。,喂，制作人。
0000000000000,燕,最近の私について、どう思う？,关于最近的我，你怎么看？
select,,可愛く\nなりましたね,变得\n可爱了呢
select,,カッコよく\nなりましたね,变得\n帅气了呢
0000000000000,燕,そ、そういうことを\n聞いているのではない！,才、才不是在问\n这种事情！
0000000000000,燕,技術的な話をしていると\nなぜ分からん！？,明明在说技术性的话题\n为什么就是不明白！？
0000000000000,燕,……まぁ、気持ちは受け取っておこう。,……嘛，这份心意我就收下了。
0000000000000,燕,うむ、そうだろうとも。,嗯，正是如此。
0000000000000,燕,レッスンの成果だな。\nさらに磨きをかけていくぞ。,这是训练的成果呢。\n接下来要继续精益求精。
0000000000000,燕,今日もプロデュース、よろしく頼む。,今天的培育也拜托你了。
info,adv_pstory_001_atbm_opening-true-02.txt,,
译者,,,
